Product Id,Variant Id,Handle,Title,URL,Body (Html),Vendor,Type,Tags,Published,Option Fulfill Value,Custom Option,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Sku,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost Per Item,Available On Listing Pages,Available On Sitemap Files,Template,Shipping Profile Name,Variant Tag,Facebook Pixel Id,Facebook Access Token,Product Stock Status,Shipping Fee,Base Cost Variant
,,patanjali-rose-face-wash,Patanjali Rose Face Wash,,,Patanjali,,"face-wash, best-selling",TRUE,,,Size,60 gm,,,,,,55,,,continue,manual,55,55,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,55,TRUE,TRUE,Default,,,,,,,
,,saundarya-face-wash-60-g,Saundarya Face Wash 60 G,,,Patanjali,,"face-wash, best-selling",TRUE,,,Size,60 gm,,,,,,56,,,continue,manual,56,56,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,56,TRUE,TRUE,Default,,,,,,,
,,patanjali-saundarya-neem--tulsi-face-wash,Patanjali Saundarya Neem- Tulsi Face Wash ,,,Patanjali,,"face-wash, best-selling",TRUE,,,Size,60 gm,,,,,,57,,,continue,manual,57,57,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,57,TRUE,TRUE,Default,,,,,,,
,,patanjali-saundarya-neem--tulsi-face-wash-,Patanjali Saundarya Neem- Tulsi Face Wash-,,,Patanjali,,"face-wash, best-selling",TRUE,,,Size,100 gm,,,,,,58,,,continue,manual,58,58,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,58,TRUE,TRUE,Default,,,,,,,
,,patanjali-saundarya-face-wash,Patanjali Saundarya Face Wash ,,,Patanjali,,"face-wash, best-selling",TRUE,,,Size,100 gm,,,,,,59,,,continue,manual,59,59,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,59,TRUE,TRUE,Default,,,,,,,
,,patanjali-men's-beard-entice-face-wash,Patanjali Men'S Beard Entice Face Wash,,,Patanjali,,"face-wash, best-selling",TRUE,,,Size,100 gm,,,,,,60,,,continue,manual,60,60,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,60,TRUE,TRUE,Default,,,,,,,
,,patanjali-men's-engery-active-face-wash,Patanjali Men'S Engery Active Face Wash,,,Patanjali,,"face-wash, best-selling",TRUE,,,Size,100 gm,,,,,,61,,,continue,manual,61,61,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,61,TRUE,TRUE,Default,,,,,,,
,,patanjali-men's-charcoal-active-face-wash,Patanjali Men'S Charcoal Active Face Wash,,,Patanjali,,"face-wash, best-selling",TRUE,,,Size,100 gm,,,,,,62,,,continue,manual,62,62,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,62,TRUE,TRUE,Default,,,,,,,
,,patanjali-saundarya-face-scrub-multani-mitti,Patanjali Saundarya Face Scrub ( Multani Mitti ),,,Patanjali,,face-scrub,TRUE,,,Size,60 gm,,,,,,63,,,continue,manual,63,63,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,63,TRUE,TRUE,Default,,,,,,,
,,herbal-facial-foam-60-gm,Herbal Facial Foam 60 Gm,,,Patanjali,,facial-foam,TRUE,,,Size,60 gm,,,,,,64,,,continue,manual,64,64,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,64,TRUE,TRUE,Default,,,,,,,
